trait_id	file_path	trait_name	n
ukb-b-1666	/local-scratch/data/opengwas/igd/ukb-b-1666/ukb-b-1666.vcf.gz	Home location at assessment - east co-ordinate (rounded)	458557
ukb-b-16662	/local-scratch/data/opengwas/igd/ukb-b-16662/ukb-b-16662.vcf.gz	Diagnoses - secondary ICD10: I25.2 Old myocardial infarction	463010
ukb-b-16665	/local-scratch/data/opengwas/igd/ukb-b-16665/ukb-b-16665.vcf.gz	Operative procedures - main OPCS: Q10.3 Dilation of cervix uteri and curettage of uterus NEC	463010
ukb-b-16671	/local-scratch/data/opengwas/igd/ukb-b-16671/ukb-b-16671.vcf.gz	Attendance/disability/mobility allowance: Attendance allowance	459354
ukb-b-16677	/local-scratch/data/opengwas/igd/ukb-b-16677/ukb-b-16677.vcf.gz	6mm cylindrical power (right)	84303
ukb-b-1668	/local-scratch/data/opengwas/igd/ukb-b-1668/ukb-b-1668.vcf.gz	Diagnoses - main ICD10: I25.1 Atherosclerotic heart disease	463010
ukb-b-16698	/local-scratch/data/opengwas/igd/ukb-b-16698/ukb-b-16698.vcf.gz	Arm predicted mass (right)	454746
ukb-b-16702	/local-scratch/data/opengwas/igd/ukb-b-16702/ukb-b-16702.vcf.gz	Diagnoses - secondary ICD10: Z91.0 Personal history of allergy, other than to drugs and biological substances	463010
ukb-b-16710	/local-scratch/data/opengwas/igd/ukb-b-16710/ukb-b-16710.vcf.gz	Carrot intake	64949
ukb-b-16713	/local-scratch/data/opengwas/igd/ukb-b-16713/ukb-b-16713.vcf.gz	Diagnoses - secondary ICD10: C78.7 Secondary malignant neoplasm of liver	463010
ukb-b-16715	/local-scratch/data/opengwas/igd/ukb-b-16715/ukb-b-16715.vcf.gz	Operative procedures - secondary OPCS: Z84.1 Sacroiliac joint	463010
ukb-b-16721	/local-scratch/data/opengwas/igd/ukb-b-16721/ukb-b-16721.vcf.gz	Starchy food consumers	64949
ukb-b-1675	/local-scratch/data/opengwas/igd/ukb-b-1675/ukb-b-1675.vcf.gz	Treatment/medication code: betahistine	462933
ukb-b-16751	/local-scratch/data/opengwas/igd/ukb-b-16751/ukb-b-16751.vcf.gz	Diagnoses - secondary ICD10: J44.9 Chronic obstructive pulmonary disease, unspecified	463010
ukb-b-16781	/local-scratch/data/opengwas/igd/ukb-b-16781/ukb-b-16781.vcf.gz	Diagnoses - main ICD10: G47.3 Sleep apnoea	463010
ukb-b-16812	/local-scratch/data/opengwas/igd/ukb-b-16812/ukb-b-16812.vcf.gz	Vitamin and mineral supplements: Multivitamins +/- minerals	460351
ukb-b-16818	/local-scratch/data/opengwas/igd/ukb-b-16818/ukb-b-16818.vcf.gz	Non-cancer illness code, self-reported: gastro-oesophageal reflux (gord) / gastric reflux	462933
ukb-b-16847	/local-scratch/data/opengwas/igd/ukb-b-16847/ukb-b-16847.vcf.gz	PCT where patients GP was registered: STAFFORDSHIRE MOORLANDS PCT	463010
ukb-b-16855	/local-scratch/data/opengwas/igd/ukb-b-16855/ukb-b-16855.vcf.gz	Cancer diagnosed by doctor	461311
ukb-b-16858	/local-scratch/data/opengwas/igd/ukb-b-16858/ukb-b-16858.vcf.gz	Cough on most days	112583
ukb-b-16862	/local-scratch/data/opengwas/igd/ukb-b-16862/ukb-b-16862.vcf.gz	Main speciality of consultant (recoded): Respiratory medicine	461173
ukb-b-16866	/local-scratch/data/opengwas/igd/ukb-b-16866/ukb-b-16866.vcf.gz	Treatment/medication code: ibuprofen	462933
ukb-b-16868	/local-scratch/data/opengwas/igd/ukb-b-16868/ukb-b-16868.vcf.gz	Non-cancer illness code, self-reported: migraine	462933
ukb-b-16872	/local-scratch/data/opengwas/igd/ukb-b-16872/ukb-b-16872.vcf.gz	Round of numeric memory test	48080
ukb-b-16878	/local-scratch/data/opengwas/igd/ukb-b-16878/ukb-b-16878.vcf.gz	Alcohol usually taken with meals	235645
ukb-b-16879	/local-scratch/data/opengwas/igd/ukb-b-16879/ukb-b-16879.vcf.gz	Diagnoses - secondary ICD10: N95.0 Postmenopausal bleeding	463010
ukb-b-16881	/local-scratch/data/opengwas/igd/ukb-b-16881/ukb-b-16881.vcf.gz	Sitting height	461536
ukb-b-16882	/local-scratch/data/opengwas/igd/ukb-b-16882/ukb-b-16882.vcf.gz	Diagnoses - main ICD10: I84.6 Residual haemorrhoidal skin tags	463010
ukb-b-16886	/local-scratch/data/opengwas/igd/ukb-b-16886/ukb-b-16886.vcf.gz	Types of transport used (excluding work): Car/motor vehicle	460491
ukb-b-16890	/local-scratch/data/opengwas/igd/ukb-b-16890/ukb-b-16890.vcf.gz	Cancer code, self-reported: breast cancer	462933
ukb-b-16892	/local-scratch/data/opengwas/igd/ukb-b-16892/ukb-b-16892.vcf.gz	Treatment/medication code: evening primrose oil	462933
ukb-b-16904	/local-scratch/data/opengwas/igd/ukb-b-16904/ukb-b-16904.vcf.gz	Operation code: anterior/posterior repair bladder/uterus	462933
ukb-b-16917	/local-scratch/data/opengwas/igd/ukb-b-16917/ukb-b-16917.vcf.gz	Diagnoses - main ICD10: S09.9 Unspecified injury of head	463010
ukb-b-16920	/local-scratch/data/opengwas/igd/ukb-b-16920/ukb-b-16920.vcf.gz	PCT where patients GP was registered: WOKINGHAM PCT	463010
ukb-b-16927	/local-scratch/data/opengwas/igd/ukb-b-16927/ukb-b-16927.vcf.gz	Age of primiparous women at birth of child	33147
ukb-b-16943	/local-scratch/data/opengwas/igd/ukb-b-16943/ukb-b-16943.vcf.gz	Illnesses of siblings: Parkinson's disease	361199
ukb-b-16944	/local-scratch/data/opengwas/igd/ukb-b-16944/ukb-b-16944.vcf.gz	Intended management of patient (recoded): Planned series of admissions with no overnight stay	442494
ukb-b-16946	/local-scratch/data/opengwas/igd/ukb-b-16946/ukb-b-16946.vcf.gz	Diagnoses - secondary ICD10: R35 Polyuria	463010
ukb-b-16956	/local-scratch/data/opengwas/igd/ukb-b-16956/ukb-b-16956.vcf.gz	Treatment/medication code: thyroxine sodium	462933
ukb-b-16958	/local-scratch/data/opengwas/igd/ukb-b-16958/ukb-b-16958.vcf.gz	Delivery methods: Spontaneous vertex	10487
ukb-b-16967	/local-scratch/data/opengwas/igd/ukb-b-16967/ukb-b-16967.vcf.gz	Diagnoses - secondary ICD10: Z95.0 Presence of cardiac pacemaker	463010
ukb-b-16989	/local-scratch/data/opengwas/igd/ukb-b-16989/ukb-b-16989.vcf.gz	External causes: Y83.8 Other surgical procedures	463010
ukb-b-16993	/local-scratch/data/opengwas/igd/ukb-b-16993/ukb-b-16993.vcf.gz	Operation code: unclassifiable	462933
ukb-b-16998	/local-scratch/data/opengwas/igd/ukb-b-16998/ukb-b-16998.vcf.gz	Duration of walks	395831
ukb-b-17001	/local-scratch/data/opengwas/igd/ukb-b-17001/ukb-b-17001.vcf.gz	Ever had bowel cancer screening	455259
ukb-b-17006	/local-scratch/data/opengwas/igd/ukb-b-17006/ukb-b-17006.vcf.gz	Non-cancer illness code, self-reported: head injury	462933
ukb-b-17010	/local-scratch/data/opengwas/igd/ukb-b-17010/ukb-b-17010.vcf.gz	Treatment/medication code: omega-3/fish oil supplement	462933
ukb-b-1702	/local-scratch/data/opengwas/igd/ukb-b-1702/ukb-b-1702.vcf.gz	Diagnoses - secondary ICD10: C77.3 Axillary and upper limb lymph nodes	463010
ukb-b-17032	/local-scratch/data/opengwas/igd/ukb-b-17032/ukb-b-17032.vcf.gz	Treatment/medication code: diazepam	462933
ukb-b-17043	/local-scratch/data/opengwas/igd/ukb-b-17043/ukb-b-17043.vcf.gz	PCT where patients GP was registered: OXFORD CITY PCT	463010
ukb-b-17049	/local-scratch/data/opengwas/igd/ukb-b-17049/ukb-b-17049.vcf.gz	Non-cancer illness code, self-reported: tonsiltis	462933
ukb-b-1707	/local-scratch/data/opengwas/igd/ukb-b-1707/ukb-b-1707.vcf.gz	Average weekly spirits intake	326565
ukb-b-17078	/local-scratch/data/opengwas/igd/ukb-b-17078/ukb-b-17078.vcf.gz	Treatment/medication code: movicol oral powder	462933
ukb-b-17079	/local-scratch/data/opengwas/igd/ukb-b-17079/ukb-b-17079.vcf.gz	Total sugars	64979
ukb-b-17085	/local-scratch/data/opengwas/igd/ukb-b-17085/ukb-b-17085.vcf.gz	Operative procedures - secondary OPCS: Z48.1 Skin of scalp	463010
ukb-b-17097	/local-scratch/data/opengwas/igd/ukb-b-17097/ukb-b-17097.vcf.gz	Gas or solid-fuel cooking/heating: An open solid fuel fire that you use regularly in winter time	461398
ukb-b-17100	/local-scratch/data/opengwas/igd/ukb-b-17100/ukb-b-17100.vcf.gz	PCT where patients GP was registered: BEBINGTON AND WEST WIRRAL PCT	463010
ukb-b-17102	/local-scratch/data/opengwas/igd/ukb-b-17102/ukb-b-17102.vcf.gz	External causes: Y83.6 Removal of other organ (partial) (total)	463010
